Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:2139360	NCBI_gene:57167	0.03	0.02	0.153846153846	0.162790697674	0.23	0.225	0.552022875555	0.542385057471
MGI:2138281	NCBI_gene:3930	0.03	0.02	0.176470588235	0.171428571429	0.205	0.205	0.548119172141	0.582950191571
MGI:2136853	NCBI_gene:56975	0.03	0.02	0.205479452055	0.19512195122	0.23	0.23	0.710084033613	0.672181372549
MGI:2135679	NCBI_gene:84667	0.03	0.02	0.189655172414	0.192307692308	0.175	0.175	0.542288557214	0.542279411765
MGI:1935147	NCBI_gene:8289	0.03	0.02	0.176470588235	0.166666666667	0.17	0.17	0.456349206349	0.431666666667
MGI:1934606	NCBI_gene:7840	0.03	0.02	0.175257731959	0.166666666667	0.205	0.205	0.700268817204	0.673295454545
MGI:1933331	NCBI_gene:6785	0.03	0.03	0.2	0.192928039702	0.185	0.185	0.523453878407	0.545833333333
MGI:1931627	NCBI_gene:8823	0.03	0.02	0.166666666667	0.157894736842	0.13	0.07	0.270421607378	0.246963562753
MGI:1931307	NCBI_gene:80704	0.03	0.02	0.164473684211	0.153846153846	0.125	0.125	0.366110623354	0.344736842105
MGI:1930618	NCBI_gene:889	0.03	0.02	0.181334622824	0.185185185185	0.155	0.155	0.400641025641	0.4375
MGI:1929646	NCBI_gene:8504	0.03	0.02	0.192307692308	0.178571428571	0.2	0.2	0.528273809524	0.513621794872
MGI:1929473	NCBI_gene:5995	0.03	0.02	0.273076923077	0.277777777778	0.095	0.09	0.636538461538	0.638888888889
MGI:1928761	NCBI_gene:10560	0.03	0.03	0.166666666667	0.15625	0.205	0.2	0.619251119251	0.608974358974
MGI:1928396	NCBI_gene:11235	0.03	0.03	0.260869565217	0.230769230769	0.1525	0.1525	0.514285714286	0.492592592593
MGI:1927580	NCBI_gene:26258	0.03	0.03	0.19298245614	0.190476190476	0.16	0.16	0.480584082157	0.460597826087
MGI:1927197	NCBI_gene:8036	0.03	0.02	0.210263157895	0.205882352941	0.175	0.17	0.517938583156	0.473076923077
MGI:1926212	NCBI_gene:9968	0.03	0.02	0.168539325843	0.166666666667	0.1925	0.19	0.399810366625	0.403298611111
MGI:1926080	NCBI_gene:8604	0.03	0.03	0.35	0.277931034483	0.08	0.08	0.581514423077	0.540572390572
MGI:1923709	NCBI_gene:771	0.03	0.03	0.047619047619	0.047619047619	0.04	0.04	0.107142857143	0.107142857143
MGI:1923510	NCBI_gene:123016	0.03	0.02	0.185840707965	0.184210526316	0.185	0.155	0.510126582278	0.493103448276
MGI:1923442	NCBI_gene:26090	0.03	0.02	0.189873417722	0.166666666667	0.165	0.165	0.671052631579	0.664772727273
MGI:1922858	NCBI_gene:128866	0.03	0.02	0.202702702703	0.185185185185	0.03	0.02	0.293659043659	0.271164021164
MGI:1922184	NCBI_gene:55130	0.03	0.02	0.217391304348	0.206896551724	0.19	0.19	0.663961038961	0.641818181818
MGI:1922004	NCBI_gene:1718	0.03	0.02	0.172413793103	0.166666666667	0.155	0.155	0.468976631749	0.445887445887
MGI:1921982	NCBI_gene:8676	0.03	0.03	0.168539325843	0.151229273871	0.18	0.18	0.589376504768	0.583482142857
MGI:1921932	NCBI_gene:57539	0.03	0.02	0.147368421053	0.161290322581	0.205	0.195	0.506142506143	0.454891372995
MGI:1921903	NCBI_gene:84197	0.03	0.03	0.204545454545	0.1875	0.245	0.245	0.665558510638	0.651515151515
MGI:1921700	NCBI_gene:80025	0.03	0.02	0.202541827542	0.185185185185	0.095	0.0875	0.48252688172	0.501748251748
MGI:1921393	NCBI_gene:4976	0.03	0.02	0.166666666667	0.148148148148	0.1575	0.155	0.489693986569	0.450705645161
MGI:1921275	NCBI_gene:27031	0.03	0.02	0.178571428571	0.171428571429	0.19	0.185	0.529605263158	0.525
MGI:1921268	NCBI_gene:57679	0.03	0.02	0.182926829268	0.178571428571	0.16	0.16	0.590568181818	0.589646464646
MGI:1920999	NCBI_gene:57217	0.03	0.02	0.173076923077	0.173913043478	0.17	0.17	0.383035714286	0.380952380952
MGI:1919682	NCBI_gene:11005	0.03	0.02	0.234375	0.217391304348	0.18	0.18	0.516629129129	0.503289473684
MGI:1919338	NCBI_gene:10083	0.03	0.03	0.163265306122	0.142857142857	0.145	0.14	0.467261904762	0.409090909091
MGI:1918708	NCBI_gene:54880	0.03	0.02	0.128834355828	0.151515151515	0.17	0.17	0.444168734491	0.403846153846
MGI:1918673	NCBI_gene:57724	0.03	0.02	0.186953878885	0.177929984779	0.17	0.17	0.495769826149	0.467948717949
MGI:1918017	NCBI_gene:9129	0.03	0.02	0.232501732502	0.227272727273	0.1575	0.155	0.649889065878	0.661057692308
MGI:1917923	NCBI_gene:63976	0.03	0.02	0.15625	0.153846153846	0.1875	0.1825	0.384101503044	0.365768025078
MGI:1917777	NCBI_gene:10617	0.03	0.02	0.182733255904	0.178174603175	0.1875	0.1875	0.570583435333	0.558493589744
