Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-031118-121	NCBI_gene:2064	0.02	0.02	0.170454545455	0.178571428571	0.08	0.08	0.322857142857	0.333333333333
ZFIN:ZDB-GENE-031116-55	NCBI_gene:1824	0.02	0.02	0.18487394958	0.173913043478	0.175	0.175	0.414638626253	0.436274509804
ZFIN:ZDB-GENE-031112-7	NCBI_gene:324	0.02	0.02	0.152542372881	0.15625	0.15	0.135	0.404036557502	0.439655172414
ZFIN:ZDB-GENE-031014-1	NCBI_gene:4093	0.02	0.02	0.145569620253	0.127659574468	0.04	0.04	0.204954954955	0.192857142857
ZFIN:ZDB-GENE-030825-6	NCBI_gene:330	0.02	0.02	0.2	0.214285714286	0.12	0.12	0.456221198157	0.439130434783
ZFIN:ZDB-GENE-030820-1	NCBI_gene:23095	0.02	0.02	0.137931034483	0.166666666667	0.15	0.145	0.359595959596	0.343253968254
ZFIN:ZDB-GENE-030805-2	NCBI_gene:5159	0.02	0.02	0.266666666667	0.285714285714	0.1	0.1	0.517054263566	0.486607142857
ZFIN:ZDB-GENE-030724-6	NCBI_gene:166336	0.02	0.02	0.168316304811	0.142857142857	0.0625	0.0575	0.23851589139	0.230253623188
ZFIN:ZDB-GENE-030708-2	NCBI_gene:7547	0.02	0.02	0.138888888889	0.148936170213	0.1525	0.1	0.348536621602	0.357789855072
ZFIN:ZDB-GENE-030516-3	NCBI_gene:80781	0.02	0.02	0.144580645161	0.128205128205	0.175	0.175	0.259790322581	0.25641025641
ZFIN:ZDB-GENE-030508-1	NCBI_gene:1406	0.02	0.02	0.0818452380952	0.0909090909091	0.1125	0.1125	0.277369733925	0.28417989418
ZFIN:ZDB-GENE-030313-1	NCBI_gene:5913	0.02	0.02	0.174418604651	0.178571428571	0.11	0.095	0.449275362319	0.516666666667
ZFIN:ZDB-GENE-030131-977	NCBI_gene:22948	0.02	0.02	0.194805194805	0.181818181818	0.105	0.09	0.406650071124	0.386904761905
ZFIN:ZDB-GENE-030131-9187	NCBI_gene:10801	0.02	0.02	0.225	0.240689655172	0.135	0.1325	0.415223665224	0.428218839984
ZFIN:ZDB-GENE-030131-9180	NCBI_gene:8867	0.02	0.02	0.206896551724	0.2	0.13	0.13	0.748479671484	0.710648148148
ZFIN:ZDB-GENE-030131-8631	NCBI_gene:6208	0.02	0.02	0.145631067961	0.120689655172	0.115	0.115	0.354007316262	0.305119047619
ZFIN:ZDB-GENE-030131-8369	NCBI_gene:226	0.02	0.02	0.147058823529	0.153846153846	0.09	0.09	0.354166666667	0.324561403509
ZFIN:ZDB-GENE-030131-8103	NCBI_gene:10133	0.02	0.02	0.15	0.148148148148	0.0925	0.0925	0.259011243386	0.276268115942
ZFIN:ZDB-GENE-030131-8003	NCBI_gene:51062	0.02	0.02	0.147368421053	0.146341463415	0.15	0.15	0.489893211289	0.456572061192
ZFIN:ZDB-GENE-030131-6665	NCBI_gene:1144	0.02	0.02	0.148936170213	0.139534883721	0.1125	0.11	0.573122529644	0.55
ZFIN:ZDB-GENE-030131-6385	NCBI_gene:23394	0.02	0.02	0.194805194805	0.190476190476	0.11	0.11	0.418805803571	0.410416666667
ZFIN:ZDB-GENE-030131-5911	NCBI_gene:5781	0.02	0.02	0.172413793103	0.176470588235	0.17	0.165	0.446376811594	0.45
ZFIN:ZDB-GENE-030131-4631	NCBI_gene:7274	0.02	0.02	0.178571428571	0.2	0.085	0.085	0.381220657277	0.420634920635
ZFIN:ZDB-GENE-030131-4449	NCBI_gene:2108	0.02	0.02	0.139534883721	0.135135135135	0.1625	0.1625	0.526833631485	0.480769230769
