Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:2683163	ZFIN:ZDB-GENE-050417-423	0.11	0.02	0.101694915254	0.125	0.14	0.11	0.143390804598	0.145833333333
MGI:3808176	ZFIN:ZDB-GENE-990714-16	0.105	0.105	0.224377318495	0.235326688815	0.1775	0.1675	0.291062822719	0.286931818182
MGI:2387104	ZFIN:ZDB-GENE-070117-1262	0.105	0.105	0.136363636364	0.116883116883	0.1575	0.1575	0.204545454545	0.175324675325
MGI:99546	ZFIN:ZDB-GENE-070117-584	0.1	0.1	0.153846153846	0.133333333333	0.1	0.1	0.222010220457	0.21184316724
MGI:99546	ZFIN:ZDB-GENE-070117-320	0.1	0.1	0.1583061552	0.135978428351	0.13	0.1	0.240434754647	0.224441251596
MGI:99546	ZFIN:ZDB-GENE-070117-1815	0.1	0.1	0.239555316478	0.220635950681	0.1	0.1	0.288001957305	0.276984642007
MGI:96444	ZFIN:ZDB-GENE-131004-2	0.1	0.1	0.157150875045	0.135593220339	0.13	0.1	0.292465753425	0.265476190476
MGI:95915	ZFIN:ZDB-GENE-070117-203	0.1	0.1	0.238727076591	0.216374269006	0.17	0.17	0.306863538296	0.27485380117
MGI:5436136	ZFIN:ZDB-GENE-070117-97	0.1	0.1	0.368595825427	0.333076923077	0.1	0.1	0.375474383302	0.339615384615
MGI:5436136	ZFIN:ZDB-GENE-070117-203	0.1	0.1	0.354838709677	0.32	0.1	0.1	0.354838709677	0.32
MGI:5436136	ZFIN:ZDB-GENE-070117-1815	0.1	0.1	0.382978723404	0.351351351351	0.1	0.1	0.382978723404	0.351351351351
MGI:5436114	ZFIN:ZDB-GENE-070117-596	0.1	0.1	0.26	0.214285714286	0.1	0.1	0.360454545455	0.323571428571
MGI:3817659	ZFIN:ZDB-GENE-070117-1815	0.1	0.1	0.382978723404	0.351351351351	0.1	0.1	0.382978723404	0.351351351351
MGI:3817255	ZFIN:ZDB-GENE-100210-3	0.1	0.08	0.164502164502	0.191368788143	0.12	0.1175	0.358049752655	0.45211038961
