Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-070117-2250	NCBI_gene:80222	0.03	0.02	0.280625	0.333333333333	0.105	0.09	0.591362229102	0.555555555556
ZFIN:ZDB-GENE-070117-2230	NCBI_gene:80222	0.03	0.02	0.203711659077	0.202941176471	0.0975	0.0925	0.298605239211	0.279927760578
ZFIN:ZDB-GENE-070117-2178	NCBI_gene:2483	0.03	0.02	0.208333333333	0.193714821764	0.085	0.085	0.497756700063	0.506702488688
ZFIN:ZDB-GENE-070117-2178	NCBI_gene:10847	0.03	0.02	0.202312889813	0.208333333333	0.1075	0.1025	0.595170146309	0.570942265795
ZFIN:ZDB-GENE-070117-213	NCBI_gene:5032	0.03	0.02	0.375	0.315789473684	0.0975	0.0975	0.688920454545	0.625
ZFIN:ZDB-GENE-070117-2115	NCBI_gene:10847	0.03	0.02	0.211267605634	0.2	0.1075	0.1075	0.471361687269	0.444197019137
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:85358	0.03	0.02	0.24	0.233333333333	0.1175	0.11	0.482456140351	0.469854469854
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:720	0.03	0.02	0.227272727273	0.215838509317	0.055	0.045	0.329266158513	0.328174603175
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:717	0.03	0.02	0.252551020408	0.25	0.075	0.065	0.399321103568	0.389285714286
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:6231	0.03	0.02	0.260869565217	0.25	0.115	0.11	0.505930318755	0.5
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:2483	0.03	0.02	0.238095238095	0.227272727273	0.105	0.1	0.442893682657	0.450666163901
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:103	0.03	0.02	0.257142857143	0.238095238095	0.1125	0.11	0.471202230382	0.459401709402
ZFIN:ZDB-GENE-070117-2046	NCBI_gene:3035	0.03	0.02	0.189873417722	0.170731707317	0.1075	0.1025	0.32196969697	0.304761904762
ZFIN:ZDB-GENE-070117-2046	NCBI_gene:103	0.03	0.02	0.20071942446	0.181818181818	0.1025	0.0975	0.393912240686	0.405654761905
ZFIN:ZDB-GENE-070117-2046	NCBI_gene:10002	0.03	0.02	0.177205252641	0.161726242371	0.11	0.1025	0.338516147247	0.333333333333
ZFIN:ZDB-GENE-070117-2013	NCBI_gene:768206	0.03	0.02	0.238095238095	0.217391304348	0.0875	0.0825	0.52049568079	0.492424242424
ZFIN:ZDB-GENE-070117-2013	NCBI_gene:162514	0.03	0.02	0.257881773399	0.25	0.095	0.08	0.464584877845	0.473235645933
ZFIN:ZDB-GENE-070117-2013	NCBI_gene:137814	0.03	0.02	0.235930735931	0.239047619048	0.1075	0.1025	0.392857142857	0.401315789474
ZFIN:ZDB-GENE-070117-2013	NCBI_gene:10528	0.03	0.02	0.24	0.222222222222	0.095	0.08	0.502859477124	0.482026143791
ZFIN:ZDB-GENE-070117-1852	NCBI_gene:7503	0.03	0.02	0.1875	0.166666666667	0.05	0.04	0.208692528736	0.192708333333
ZFIN:ZDB-GENE-070117-1812	NCBI_gene:6201	0.03	0.02	0.184210526316	0.166666666667	0.065	0.06	0.30386996904	0.286458333333
ZFIN:ZDB-GENE-070117-180	NCBI_gene:407975	0.03	0.02	0.187617260788	0.263157894737	0.135	0.135	0.433712121212	0.483898601399
ZFIN:ZDB-GENE-070117-180	NCBI_gene:10847	0.03	0.02	0.227848101266	0.263157894737	0.085	0.08	0.465909090909	0.486590909091
ZFIN:ZDB-GENE-070117-180	NCBI_gene:100151683	0.03	0.02	0.214756258235	0.25	0.085	0.08	0.454545454545	0.48547979798
